company_url,company_name,activity,company_linked_in,company_founding_year,company_employees,person_full_name,person_job_title,person_url,company_title,company_description,company_content,company_main_terms,company_detailed_terms,stats
www.urban-dashboard.info/,Urban Dashboard,Urban Dashboard develops an AI-powered decision support platform for smarter and faster urban planning and design.,https://www.linkedin.com/company/urban-dashboard/,2019,1-10,Ziv Livnat,Co- Founder,https://www.linkedin.com/in/ziv-livnat-37a07710/,Urban Dashboard,Urban Dashboard develops an AI-powered decision support platform for smarter and faster urban planning and design.,"
About
Transforming the way cities are planned.
Urban Dashboard’s mission is to become the gold standard of efficient, data-driven planning and urban design. We develop an AI-powered decision support platform for smarter, faster and more effective development processes.
Urban Dashboard streamlines the iterative planning approach, giving planners and urban designers the ability to integrate and take advantage of an abundance of data layers  and spatial analysis while also simplifying and shortening the planning process.
Urban Dashboard allows for data-rich decision making from an early stage, creating value and minimising the chance for errors at the implementation phase. The platform offers various analyses of economic, environmental, and sustainability factors within moments. The platform’s Built Volume Engine generates and optimizes a 3D model of building volumes, according to each specific lot’s attributes The result is efficient design in near real-time experience, with minimum user input.
Urban Dashboard enables seamless collaboration between stakeholders in a development project – local authorities, developers, architects and urban designers, planners, and other stakeholders.
","Management & Collaboration Tools,, Plan & Build","Plan & Build,Management & Collaboration Tools,Commercial,General,Residential,Retail,

                                                Artificial Intelligence                                            
,

                                                Data Analytics                                            
,

                                                Machine Learning                                            
,

                                                management                                            
,

                                                Planning                                            
","{'Year Founded': '2019', 'Total Raised': 'N / A', 'Funding Stage': 'NA', 'Employees': '1-10', 'Country': 'Israel,United Kingdom', 'Operation area': 'Israel,United Kingdom', 'HQ Address': 'Herzliya , Israel'}"
www.urban-dashboard.info/,Urban Dashboard,Urban Dashboard develops an AI-powered decision support platform for smarter and faster urban planning and design.,https://www.linkedin.com/company/urban-dashboard/,2019,1-10,Daniela Paz Erez,Founder & CEO,https://www.linkedin.com/in/daniela-paz-erez-69956358/,Urban Dashboard,Urban Dashboard develops an AI-powered decision support platform for smarter and faster urban planning and design.,"
About
Transforming the way cities are planned.
Urban Dashboard’s mission is to become the gold standard of efficient, data-driven planning and urban design. We develop an AI-powered decision support platform for smarter, faster and more effective development processes.
Urban Dashboard streamlines the iterative planning approach, giving planners and urban designers the ability to integrate and take advantage of an abundance of data layers  and spatial analysis while also simplifying and shortening the planning process.
Urban Dashboard allows for data-rich decision making from an early stage, creating value and minimising the chance for errors at the implementation phase. The platform offers various analyses of economic, environmental, and sustainability factors within moments. The platform’s Built Volume Engine generates and optimizes a 3D model of building volumes, according to each specific lot’s attributes The result is efficient design in near real-time experience, with minimum user input.
Urban Dashboard enables seamless collaboration between stakeholders in a development project – local authorities, developers, architects and urban designers, planners, and other stakeholders.
","Management & Collaboration Tools,, Plan & Build","Plan & Build,Management & Collaboration Tools,Commercial,General,Residential,Retail,

                                                Artificial Intelligence                                            
,

                                                Data Analytics                                            
,

                                                Machine Learning                                            
,

                                                management                                            
,

                                                Planning                                            
","{'Year Founded': '2019', 'Total Raised': 'N / A', 'Funding Stage': 'NA', 'Employees': '1-10', 'Country': 'Israel,United Kingdom', 'Operation area': 'Israel,United Kingdom', 'HQ Address': 'Herzliya , Israel'}"
axonize.com/,Axonize,Axonize makes large scale IoT projects easy by automating deployment at a fraction of the time and cost.,https://twitter.com/AxonizeIoT,2016,11-50,,,,Axonize,Axonize makes large scale IoT projects easy by automating deployment at a fraction of the time and cost.,"
About
The Axonize Smart Building solution is a “Software as a Service” (SaaS), that provides insights, control and visibility into your spaces and facilities to significantly optimize energy consumption, reduce costs, improve space utilization and enhance occupant well-being and productivity.
","Manage & Operate,, Property Management","Property Management,Manage & Operate,Commercial,Industrial,

                                                Artificial Intelligence                                            
,

                                                Big Data                                            
,

                                                Browser-based application                                            
,

                                                Business Intelligence                                            
,

                                                CRM                                            
,

                                                Internet of Things (IoT)                                            
,

                                                Predictive Analytics                                            
,

                                                Property Management                                            
,

                                                SaaS                                            
,

                                                Sensors                                            
,

                                                Smart Building                                            
,

                                                Smart City                                            
,

                                                Web Platform                                            
","{'Year Founded': '2016', 'Total Raised': '$7.8M', 'Funding Stage': 'Acquired', 'Employees': '11-50', 'Country': 'Global', 'Operation area': 'Global', 'HQ Address': 'Tel Aviv, Israel'}"
www.indoor-robotics.com/,Indoor Robotics,Indoor robotics develops fully autonomous indoor drone fleets and AI-based solutions for security and monitoring in smart buildings.,https://twitter.com/IndoorRobotics,2018,11-50,,,,Indoor Robotics,Indoor robotics develops fully autonomous indoor drone fleets and AI-based solutions for security and monitoring in smart buildings.,"
About
Indoor Robotics is the creator of Tando, a  fully autonomous indoor drone platform for security monitoring and inspection.
Tando™’s mobility and advanced capabilities make securing any facility easy. Independent AI based technology manages navigation, monitoring, and alerts you to intruders, security breaches, safety issues, and potential hazards while eliminating false alarms.
","Manage & Operate,, Property Management","Property Management,Manage & Operate,

                                                Data Analytics                                            
,

                                                Drones                                            
,

                                                GPS                                            
,

                                                Internet of Things (IoT)                                            
,

                                                Location Analytics                                            
,

                                                Mapping                                            
,

                                                Property Management                                            
,

                                                Robotics                                            
,

                                                SecureTech                                            
,

                                                Security                                            
,

                                                Sensors                                            
","{'Year Founded': '2018', 'Total Raised': 'N / A', 'Funding Stage': 'N / A', 'Employees': '11-50', 'Country': 'Israel', 'Operation area': 'Israel', 'HQ Address': 'Ramat-Gan, 5252007, IL'}"
www.homazze.com/,Homaze,Online Quote Optimization for Home Renovation,https://www.linkedin.com/company/homazze/,2020,1-10,Naama Yacobson,Co- Founder & CPO,https://www.linkedin.com/in/naama-yacovson/,Homaze,Online Quote Optimization for Home Renovation,"
About
Homaze mission is to transform the antiqued, low-tech industry of residential home improvements by innovating the processes and bringing them online. With Homaze.com, contractors can automate and streamline their lead-to-payment sales processes.
",Virtual Tours,"Virtual Tours,Residential,

                                                Image Processing                                            
,

                                                VR/AR                                            
","{'Year Founded': '2020', 'Total Raised': '', 'Funding Stage': 'NA', 'Employees': '1-10', 'Country': 'Israel,United States', 'HQ Address': 'HaUmanim Street 12, Tel Aviv-Yafo, Israel', 'Other Offices': '7 World Trade Center, 250 Greenwich St #7, New York, NY 10007, United States'}"
www.homazze.com/,Homaze,Online Quote Optimization for Home Renovation,https://www.linkedin.com/company/homazze/,2020,1-10,Inbal Glantser,Co- Founder & CEO,https://www.linkedin.com/in/inbalglantser/?originalSubdomain=il,Homaze,Online Quote Optimization for Home Renovation,"
About
Homaze mission is to transform the antiqued, low-tech industry of residential home improvements by innovating the processes and bringing them online. With Homaze.com, contractors can automate and streamline their lead-to-payment sales processes.
",Virtual Tours,"Virtual Tours,Residential,

                                                Image Processing                                            
,

                                                VR/AR                                            
","{'Year Founded': '2020', 'Total Raised': '', 'Funding Stage': 'NA', 'Employees': '1-10', 'Country': 'Israel,United States', 'HQ Address': 'HaUmanim Street 12, Tel Aviv-Yafo, Israel', 'Other Offices': '7 World Trade Center, 250 Greenwich St #7, New York, NY 10007, United States'}"
www.archilogic.com/,Archilogic,"Archilogic’s platform empowers users to easily create, edit, and share 3D content for interiors.",https://twitter.com/archilogic,2014,11-50,,,,Archilogic,"Archilogic's platform empowers users to easily create, edit, and share 3D content for interiors.","
About
Archilogic combines deep knowledge of architecture, design, 3D workflows, computer vision and coding to create visually stunning and powerful 3D interiors in the web – for everyone, anywhere, anytime. Go to places that no longer exist, that don’t exist yet and everything else in between.
","Plan & Build,, Planning & Design Tools","Planning & Design Tools,Plan & Build,Commercial,Retail,

                                                3D Modeling                                            
,

                                                Artificial Intelligence                                            
,

                                                Big Data                                            
,

                                                BIM                                            
,

                                                Digital Twin                                            
,

                                                Internet of Things (IoT)                                            
,

                                                Smart Building                                            
","{'Year Founded': '2014', 'Total Raised': '$9.3M', 'Funding Stage': 'NA', 'Employees': '11-50', 'Country': 'Switzerland', 'Operation area': 'Switzerland', 'HQ Address': 'Kanzleistrasse 126, Zürich, Zürich 8004, CH'}"
www.flytrex.com/,Flytrex,Flytrex is building the world’s first drone based delivery service ,https://twitter.com/flytrexcom,2013,11-50,Yariv Bash,CEO & Co-founder,https://www.linkedin.com/in/yarivbash/,Flytrex,Flytrex is building the world's first drone based delivery service,"
About
In a nutshell, Flytrex is building the world’s first drone based delivery service – cutting delivery costs and times by an order of magnitude in an (almost) infinite market.
In August 2017 Flytrex launched the world’s first fully operational, regulatory approved, on-demand drone delivery service in Reykjavik, Iceland, and became the leading competitor in the race to deploy a true on-demand delivery service via autonomous vehicles. The Flytrex system was approved by ICETRA (Iceland’s Civil Aviation Authority) and insured, and set precedent after being granted approval to operate BVLOS (Beyond Visual Line of Sight) and above populated regions, in a first world country.
Flytrex was also selected to participate in the FAA’S Drone Pilot Program, partnering with North Carolina’s Department of Transportation and taking on the challenge to establish the first drone based delivery service in the United States.
While the majority of packages that require transit across cities are no heavier than 2lbs, Flytrex drones are able to carry up to 6.5lbs and travel a distance of approximately 6 aerial miles. The drones require minimal handling thus reducing manpower, and ensuring a quick delivery every single time.
",Manage & Operate,"Manage & Operate,Residential,

                                                Drones                                            
","{'Year Founded': '2013', 'Total Raised': '$20.3M', 'Funding Stage': 'B', 'Employees': '11-50', 'Country': 'Israel', 'Operation area': 'Europe,United States', 'HQ Address': 'Tel Aviv, Israel'}"
,Home365,Property Management Reinvented,https://twitter.com/HelloHome365,2016,11-50,Daniel Shaked,Founder & CEO,https://www.linkedin.com/in/danielshaked/,Home365,Property Management Reinvented,"
About
Home365 is the next breed of Property Management company which leverages Technology, AI and Data to offer no less than a revolution in owning and renting out real estate.
Home365 is designed to remove the risks and unknowns of rental property ownership while delivering predictable profits by offering vacancy insurance rental listing, tenant management and maintenance for one flat all-inclusive rate.
Home365 is a Hybrid InsureTech and Property Management company that leverages data, AI, and workflow automation to offer a personalized, all-inclusive management service that guarantees the Net Operating Income (NOI) of rental properties.
","Manage & Operate,, Property Management","Property Management,Manage & Operate","{'Year Founded': '2016', 'Total Raised': '$24M', 'Funding Stage': 'A', 'Employees': '11-50', 'Country': 'Israel,United States', 'Operation area': 'United States', 'HQ Address': '824 San Antonio Rd, Palo Alto, California US'}"
en.get-place.com/,GetPlace,Apartment Rental Matching Solution,https://www.linkedin.com/company/getplace/about/,2017,11-50,Din Golan,Founder,https://www.linkedin.com/in/dingolan/,GetPlace,Apartment Rental Matching Solution,"
About
GetPlace develops rental solutions for the real estate industry. The company’s web application offers an easy and convenient way for rental seekers and apartment owners to connect.
","Agent Tools & Services,, Buy Sell & Rent,, Home Search,, Tech-Enabled Brokerage,, Travel & Vacation Search","Travel & Vacation Search,Tech-Enabled Brokerage,Home Search,Buy Sell & Rent,Agent Tools & Services,Residential,

                                                Marketplace                                            
,

                                                PropTech                                            
,

                                                real estate                                            
,

                                                rent                                            
","{'Year Founded': '2017', 'Total Raised': '', 'Funding Stage': 'Bootstrapped', 'Employees': '11-50', 'Country': 'Israel', 'Operation area': 'Israel', 'HQ Address': 'Mapu Street 18, Tel Aviv-Yafo, Israel'}"
